station_alias,year,PM10,PM25,SO2,NO2,NO,O3,BEN,CO,MXIL,TOL
Argentina,2e3,56.33964996982498,NaN,20.516341378912113,44.12692082111437,32.05340548170803,19.299237536656893,NaN,0.8009277122781946,NaN,NaN
Argentina,2001,69.57095631641086,NaN,16.773801250868658,41.32758421113555,30.71211945827063,32.987047530935584,NaN,0.8418367109247612,NaN,NaN
Argentina,2002,63.81005394238494,NaN,10.16552040348464,32.94083727367086,29.56337216007381,39.023839541547275,NaN,0.5190594059405941,NaN,NaN
Argentina,2003,52.85014376078206,NaN,16.104851690043688,31.529047340736412,21.116540035067214,38.6810443984357,NaN,0.4956013466449965,NaN,NaN
Argentina,2004,48.34885313248888,NaN,21.018791323512353,36.385193007157106,24.10500711912672,34.78132118451025,NaN,0.5014252847118371,NaN,NaN
Argentina,2005,43.46858189309832,NaN,17.22998256827426,37.74920969441517,21.917041420118345,39.68349514563107,NaN,0.4605711009174312,NaN,NaN
Argentina,2006,41.582359453807356,NaN,14.469253657327052,33.45190630451034,23.891622508200857,43.08651960784314,NaN,0.403658385860833,NaN,NaN
Argentina,2007,39.26520036849378,NaN,15.505574912891985,22.370851039393592,27.77573529411765,43.83360128617363,NaN,0.36362874112029814,NaN,NaN
Argentina,2008,38.33387546468401,NaN,13.808567448339911,37.445090063916325,32.45665012993149,51.74425354074762,NaN,0.40940921853065043,NaN,NaN
Argentina,2009,35.95939608829921,NaN,10.865199449793673,31.129729111898502,14.800137284063608,40.96437542817995,NaN,0.45390243902439026,NaN,NaN
Argentina,2010,32.699506824177085,NaN,9.473146660546247,32.82926269923174,14.616823502409915,39.06328679331655,NaN,0.463424988495168,NaN,NaN
Argentina,2011,38.02496821176742,NaN,9.945616883116884,26.237650046168053,11.550092549745488,37.02790590405904,NaN,0.38854623506207214,NaN,NaN
Argentina,2012,34.049822877385445,NaN,8.142675747431605,22.496796392975796,11.413506122934253,34.257315957933244,NaN,0.4022047150811515,NaN,NaN
Argentina,2013,35.07066773565457,NaN,7.68609865470852,27.50373348650201,10.78942518143071,38.74951166264506,NaN,0.3804814004376368,NaN,NaN
Argentina,2014,33.317354993707816,NaN,7.069610091743119,25.74621385956861,10.054541279136526,38.52051340820536,NaN,0.3479658296066965,NaN,NaN
Argentina,2015,28.235415709692237,NaN,7.26839378238342,27.152296535052376,12.230742659758205,35.76379767254292,NaN,0.3523327576280944,NaN,NaN
Argentina,2016,25.186105360018402,NaN,7.122758620689655,21.71911274566142,9.427471264367817,36.302863056226286,NaN,0.38964716699229973,NaN,NaN
Argentina,2017,28.720606826801518,NaN,7.96981219034451,26.277764976958526,9.301728110599079,38.79377880184332,NaN,0.49964837445238647,NaN,NaN
Castilla,2e3,68.21334431630972,NaN,14.729103254507141,45.12105201361982,34.09698250557708,44.095824859432945,NaN,0.8037299528301887,NaN,NaN
Castilla,2001,56.95543815321006,NaN,16.08382608695652,39.39103963239518,30.131533601378518,41.84781857948659,NaN,0.6025308498253783,NaN,NaN
Castilla,2002,51.47597597597598,NaN,12.87883346834857,43.289682997118156,34.80945244956772,41.17103894603028,NaN,0.5538664632715325,NaN,NaN
